mics,hemisphere,network,label,t1_gradient1_SalVentAttn,fc_g1,fc_g1_network,network_int,t1_gradient1_Limbic,t1_gradient1_Default,t1_gradient1_Cont,t1_gradient1_DorsAttn,t1_gradient1_Vis,t1_gradient1_SomMot,Limbic_SC_P,Limbic_SC_dominant,Default_SC_P,Default_SC_dominant,Cont_SC_P,Cont_SC_dominant,SalVentAttn_SC_P,SalVentAttn_SC_dominant,DorsAttn_SC_P,DorsAttn_SC_dominant,Vis_SC_P,Vis_SC_dominant,SomMot_SC_P,SomMot_SC_dominant,Limbic_GD_P,Limbic_GD_dominant,Default_GD_P,Default_GD_dominant,Cont_GD_P,Cont_GD_dominant,SalVentAttn_GD_P,SalVentAttn_GD_dominant,DorsAttn_GD_P,DorsAttn_GD_dominant,Vis_GD_P,Vis_GD_dominant,SomMot_GD_P,SomMot_GD_dominant,Limbic_MPC_P,Limbic_MPC_dominant,Default_MPC_P,Default_MPC_dominant,Cont_MPC_P,Cont_MPC_dominant,SalVentAttn_MPC_P,SalVentAttn_MPC_dominant,DorsAttn_MPC_P,DorsAttn_MPC_dominant,Vis_MPC_P,Vis_MPC_dominant,SomMot_MPC_P,SomMot_MPC_dominant,Limbic_FC_P,Limbic_FC_dominant,Default_FC_P,Default_FC_dominant,Cont_FC_P,Cont_FC_dominant,SalVentAttn_FC_P,SalVentAttn_FC_dominant,DorsAttn_FC_P,DorsAttn_FC_dominant,Vis_FC_P,Vis_FC_dominant,SomMot_FC_P,SomMot_FC_dominant
1139.0,LH,Cont,7Networks_LH_Cont_PFCl_5,,-3.5929568,-4.458974,0.0,,,1.0486295128517718,,,,,,,,-0.6962939413606809,1.0,,,,,,,,,,,,,-1.0453000897396916,1.0,,,,,,,,,,,,,0.8782328907096513,1.0,,,,,,,,,,,,,0.288976050858236,1.0,,,,,,,,
1139.0,LH,Cont,7Networks_LH_Cont_PFCl_5,,-2.4652934,-4.458974,0.0,,,-0.5417960358058547,,,,,,,,-1.0705542070554712,1.0,,,,,,,,,,,,,-1.1279257682018415,1.0,,,,,,,,,,,,,-0.4961102126876404,1.0,,,,,,,,,,,,,0.48515804223260517,1.0,,,,,,,,
1139.0,LH,Cont,7Networks_LH_Cont_PFCl_5,,-1.9000692,-4.458974,0.0,,,-0.20855321316946546,,,,,,,,-1.1681437679288815,1.0,,,,,,,,,,,,,-1.2171552464148414,1.0,,,,,,,,,,,,,-0.2821689077423238,1.0,,,,,,,,,,,,,0.5239243431643336,1.0,,,,,,,,
1139.0,LH,Cont,7Networks_LH_Cont_PFCl_5,,-1.7703575,-4.458974,0.0,,,-0.2767128216342285,,,,,,,,-1.15849396210917,1.0,,,,,,,,,,,,,-1.313529765692659,1.0,,,,,,,,,,,,,-0.45696406711582177,1.0,,,,,,,,,,,,,0.8204737319113288,4.0,,,,,,,,
1139.0,LH,Cont,7Networks_LH_Cont_PFCl_5,,-2.3560622,-4.458974,0.0,,,-1.581606224298491,,,,,,,,-1.0612724473787332,1.0,,,,,,,,,,,,,-1.395787933637876,1.0,,,,,,,,,,,,,-1.315348089601143,1.0,,,,,,,,,,,,,1.1176571300035947,4.0,,,,,,,,
1137.0,LH,Cont,7Networks_LH_Cont_PFCl_3,,-3.4622638,-4.458974,0.0,,,-0.6263225815056064,,,,,,,,-1.1055085170587868,1.0,,,,,,,,,,,,,-1.4789056091629602,1.0,,,,,,,,,,,,,-0.6442377063675214,1.0,,,,,,,,,,,,,0.8743995379098369,4.0,,,,,,,,
1137.0,LH,Cont,7Networks_LH_Cont_PFCl_3,,-4.4925036,-4.458974,0.0,,,-0.6668914851519128,,,,,,,,-1.2500128308424847,1.0,,,,,,,,,,,,,-1.5690747631883089,1.0,,,,,,,,,,,,,-0.5115312319615473,1.0,,,,,,,,,,,,,0.720144305373781,1.0,,,,,,,,
1047.0,LH,SomMot,7Networks_LH_SomMot_16,,5.209387,5.509787,5.0,,,,,,-0.5313624021478256,,,,,,,,,,,,,-1.574287928246819,2.0,,,,,,,,,,,,,-1.6203027212676655,1.0,,,,,,,,,,,,,-0.3784422806730536,1.0,,,,,,,,,,,,,-1.6527338825529425,1.0
1047.0,LH,SomMot,7Networks_LH_SomMot_16,,5.4043746,5.509787,5.0,,,,,,-0.7972241798466746,,,,,,,,,,,,,-1.6109728773868053,2.0,,,,,,,,,,,,,-1.5453788745628025,1.0,,,,,,,,,,,,,-0.5322652682655233,1.0,,,,,,,,,,,,,-0.8813390689983666,1.0
1047.0,LH,SomMot,7Networks_LH_SomMot_16,,5.6907825,5.509787,5.0,,,,,,-0.688776977594676,,,,,,,,,,,,,-1.6394872941302383,2.0,,,,,,,,,,,,,-1.4429701749757424,1.0,,,,,,,,,,,,,-0.9820969143402493,1.0,,,,,,,,,,,,,-0.34885459195747903,1.0
1043.0,LH,SomMot,7Networks_LH_SomMot_12,,5.8032002,5.509787,5.0,,,,,,-0.6271338080348793,,,,,,,,,,,,,-1.5225323097498618,2.0,,,,,,,,,,,,,-1.36522142029215,1.0,,,,,,,,,,,,,-0.6002575828274808,1.0,,,,,,,,,,,,,-0.48207753816081855,1.0
